Index1,Index2,peak_cc,peak_mad_mult,peak_width,peak_prominence,win_id_1,win_id_2,group_idx
29473,29639,0.999999940395,37.5686715392,388.0,5.96046447754e-08,0,1,16
31114,30970,0.999999940395,37.5686715392,361.0,5.96046447754e-08,3,2,4
31392,31206,0.999999940395,37.5686715392,184.0,5.96046447754e-08,4,3,4
31556,31344,0.999999940395,37.5686715392,128.0,5.96046447754e-08,5,4,4
172496,14521607,0.704617619514,26.4715494861,163.510932021,0.275326609612,6,786,0
323409,14919725,0.687866806984,25.8422436746,204.969922967,0.217557668686,7,888,0
324439,20915833,0.811029374599,30.4692979991,248.80253911,0.359550595284,8,2605,0
325811,19189969,0.790899276733,29.7130369193,156.447776267,0.319634765387,9,2135,0
326990,14961330,0.697720885277,26.2124483274,137.314140386,0.236132055521,10,948,0
329425,14962074,0.86186504364,32.3791266656,410.101447454,0.433393359184,11,950,0
330390,19565949,0.743668556213,27.9386413877,135.948603435,0.21463149786,12,2423,0
330599,19566315,0.76418697834,28.709491295,186.613270004,0.301995247602,13,2423,0
330957,19562695,0.714959621429,26.8600847823,113.632154293,0.202223777771,14,2419,0
336652,14998835,0.723087310791,27.1654312925,175.275512315,0.231896996498,15,1016,0
337378,12633713,0.816792845726,30.6858239657,161.753029075,0.355011254549,16,392,0
480365,14441554,0.684025645256,25.6979363228,193.967851232,0.254513174295,17,721,0
1144631,14978834,0.702825307846,26.4042147138,138.272706513,0.270475745201,18,985,0
1409840,14969710,0.706010699272,26.5238856451,72.3268734377,0.113437771797,19,963,0
1410026,14966869,0.715496659279,26.8802605821,179.798960396,0.24078720808,20,960,0
1410647,19892471,0.776745975018,29.1813161442,114.842728599,0.146273732185,21,2500,0
1410855,14452669,0.780979394913,29.3403601152,213.653643421,0.180289208889,22,739,0
1411210,14974519,0.72471010685,27.2263975882,138.239639946,0.116549253464,23,973,0
1411504,14966901,0.792352795601,29.7676436954,189.941173247,0.354250043631,24,960,0
1411793,15787871,0.778948545456,29.2640637945,77.3506647416,0.0845100879669,25,1328,0
1412092,14969123,0.789139986038,29.646942701,640.788014278,0.240016818047,26,962,0
1412543,14966909,0.78634673357,29.5420039103,244.516984447,0.166623532772,27,960,0
1412805,14966346,0.758912861347,28.5113497143,177.847685373,0.123205125332,28,959,0
1413210,14974529,0.725294947624,27.2483692805,180.747045822,0.194646477699,29,973,0
1414080,14980538,0.723812878132,27.1926898952,211.762377098,0.197865247726,30,990,0
1421577,15786401,0.766991436481,28.8148510681,256.889543708,0.30743342638,31,1326,0
1430797,13144560,0.705668270588,26.5110210536,144.685346911,0.248416125774,32,499,0
1468819,14966272,0.6883020401,25.8585948056,146.747344109,0.203668147326,33,959,0
1469454,14565230,0.744552016258,27.9718318099,81.2145906773,0.111376106739,34,820,0
1469629,15787880,0.825542867184,31.0145506674,152.069679456,0.365615099669,35,1328,0
1469835,14565087,0.811969399452,30.5046134862,275.67361009,0.341020733118,36,820,0
1475659,14977082,0.690113663673,25.9266551006,116.664223075,0.209055900574,37,980,0
1476031,14964949,0.731479644775,27.4807201502,241.509073828,0.171310782433,38,957,0
1476283,15786378,0.800063669682,30.0573310083,237.329271064,0.329370170832,39,1326,0
1476643,14441070,0.776629149914,29.17692718,242.891201236,0.251394808292,40,720,0
1477004,16518065,0.766536295414,28.7977520218,142.624175122,0.17584079504,41,1560,0
1477413,13035367,0.71248537302,26.767130551,126.346418715,0.160320878029,42,474,0
1477756,16071250,0.777689218521,29.2167525517,277.130399085,0.254221081734,43,1498,0
1478714,15361615,0.768740534782,28.8805623716,289.296744434,0.267624497414,44,1174,0
1480201,16078750,0.691418170929,25.9756637082,116.033384951,0.209859013557,45,1515,0
1480568,14964873,0.727458298206,27.3296434928,155.013411218,0.218618869781,46,957,0
1480824,14241769,0.793582677841,29.8138487401,153.666777808,0.305576503277,47,559,0
1481133,14967106,0.789634823799,29.6655330995,121.544886454,0.229625344276,48,960,0
1481875,14968603,0.762595295906,28.6496938969,135.558766725,0.250651061535,49,962,0
1482035,11466491,0.756534874439,28.4220118999,174.719692432,0.142811834812,50,321,0
1482729,14966898,0.841481387615,31.613339742,669.348118541,0.364682018757,51,960,0
1483160,15787900,0.83107572794,31.2224129082,81.7164796609,0.107256948948,52,1328,0
1483512,14440765,0.767003536224,28.8153056394,130.498367475,0.267195492983,53,720,0
1484365,14979228,0.790282189846,29.6898537833,221.14673473,0.285332202911,54,986,0
1484715,15786382,0.817623317242,30.7170236792,164.527568272,0.216983497143,55,1326,0
1484916,16879532,0.767783522606,28.8446086933,118.099627756,0.154774665833,56,1722,0
1485412,15786235,0.858827590942,32.2650135961,331.766141555,0.388286858797,57,1326,0
1486199,14966908,0.776277303696,29.1637087842,219.996814081,0.244336307049,58,960,0
1486498,13139986,0.748185634613,28.1083420325,116.802173858,0.187708377838,59,491,0
1486945,11466357,0.712147712708,26.7544451008,244.406954841,0.217619538307,60,321,0
1487561,14977020,0.758579015732,28.4988075773,192.991959705,0.285005360842,61,980,0
1487843,11467795,0.698202967644,26.2305595226,125.630234524,0.179604351521,62,323,0
1489494,14966964,0.774750590324,29.1063521876,142.142085097,0.293470621109,63,960,0
1489633,15362409,0.694720625877,26.0997325608,68.7575597586,0.100300908089,64,1174,0
1490052,1497410,0.732272863388,27.5105203215,161.564284978,0.19826489687,65,83,0
1490289,14979775,0.724046349525,27.2014611058,88.556250555,0.157211005688,66,988,0
1490689,16879519,0.884042799473,33.2123155396,284.94966555,0.377095162868,67,1722,0
1491012,16879518,0.843563020229,31.6915439186,190.29298284,0.183820188046,68,1722,0
1491440,14576260,0.749592959881,28.1612133764,120.903357179,0.177387058735,69,838,0
1491868,13035355,0.864978969097,32.4961127153,82.639262645,0.083014190197,70,474,0
1491954,14968585,0.865948796272,32.532547836,478.985576169,0.334248006344,70,962,0
1492365,15786229,0.758255720139,28.4866617906,68.9677803661,0.211668491364,71,1326,0
1492570,1498470,0.760872244835,28.5849611533,97.9295473865,0.142596721649,72,86,0
1492707,14440905,0.777095794678,29.1944584049,164.716073319,0.224788725376,73,720,0
1493275,14971630,0.887153446674,33.3291784296,1009.9231687,0.455448925495,74,966,0
1493447,11467749,0.886266589165,33.2958603691,136.1265758,0.070913374424,74,323,0
1493803,18541966,0.88180744648,33.1283362923,92.3087732615,0.12835162878,74,2044,0
1494073,13144433,0.840477049351,31.5756080854,65.1511808038,0.0822734832764,75,499,0
1494286,14968815,0.884007275105,33.2109809362,251.447497847,0.258928060532,76,962,0
1494614,9472858,0.846230447292,31.7917556158,137.310147263,0.158802747726,76,224,0
1495223,14969740,0.832214832306,31.2652075485,218.138662759,0.275304675102,77,963,0
1495495,1490755,0.786614060402,29.5520470248,187.415188396,0.175505101681,78,67,0
1495959,14565138,0.80903917551,30.3945288588,246.839466487,0.285574436188,79,820,0
1496209,1494671,0.720424890518,27.0654076938,217.04830085,0.20420986414,80,76,0
1496621,1493599,0.803004920483,30.1678299002,267.287059323,0.220106601715,81,74,0
1497151,1498088,0.816704928875,30.6825210462,184.682120608,0.238733768463,82,85,0
1497532,13035355,0.819794654846,30.7985979533,253.794856993,0.223017096519,83,474,0
1498070,14565136,0.850801289082,31.9634760798,634.465617314,0.297799944878,85,820,0
1498414,14964940,0.860813200474,32.3396103128,165.024884339,0.351029336452,86,957,0
1499004,1493555,0.713856756687,26.8186516166,135.320472045,0.203508675098,87,74,0
1499340,1494706,0.765545129776,28.7605152433,211.157541607,0.229469060898,88,76,0
1499605,15786327,0.732151091099,27.5059454981,161.42630564,0.190671443939,89,1326,0
1499905,14967129,0.815770745277,30.6474250074,247.138849823,0.338090002537,90,960,0
1500227,19401832,0.710853636265,26.7058283651,151.220403217,0.147568404675,91,2344,0
1501909,20233599,0.775047421455,29.1175037395,365.684539157,0.259094119072,92,2543,0
1504154,1498155,0.714421570301,26.839870915,173.002010386,0.248653948307,93,85,0
1504534,1493263,0.728127360344,27.35477927,139.233450913,0.261880517006,94,74,0
1505938,14567940,0.737724006176,27.7153125266,176.231346282,0.272128224373,95,825,0
1506712,16070375,0.740061402321,27.8031253999,138.993175579,0.283163517714,96,1496,0
1510693,14440744,0.682936251163,25.6570092315,242.039068589,0.226407200098,97,720,0
1516945,1498142,0.711930751801,26.7462941673,168.417485625,0.226947426796,98,85,0
1517645,16750570,0.706122756004,26.5280954679,84.6427341185,0.0902323126793,99,1657,0
1517758,19252509,0.72254884243,27.1452017503,352.626517874,0.274114429951,99,2180,0
1518663,16063758,0.695942342281,26.1456308258,72.931254437,0.212843805552,100,1480,0
1518994,15362311,0.687270104885,25.8198263682,194.315995035,0.207300126553,101,1174,0
1664656,14964994,0.705190300941,26.4930643678,102.122289459,0.234225362539,102,957,0
1665180,17220497,0.781461000443,29.3584533963,139.38735215,0.342051148415,103,1770,0
1667125,16076604,0.708808243275,26.6289856631,175.370113258,0.246411830187,104,1508,0
2484238,14565126,0.717358112335,26.9501929047,177.902150773,0.26414462924,105,820,0
2493481,14532064,0.721459627151,27.1042813768,216.448646666,0.286313742399,106,795,0
2494392,18754854,0.706219255924,26.5317208419,90.2549556806,0.110404849052,107,2082,0
2494606,14967435,0.706486284733,26.5417527601,235.766606974,0.192979633808,108,960,0
2770957,19191124,0.748922944069,28.136041771,128.241347766,0.2485024333,109,2138,0
2771248,14976750,0.70300078392,26.4108071171,125.538152074,0.174335360527,110,979,0
2771912,15915989,0.789763748646,29.670376635,389.688826168,0.357964336872,111,1352,0
2772641,19542174,0.763772785664,28.6939306255,213.367315792,0.217828929424,113,2394,0
2773593,19566306,0.698671936989,26.2481780789,120.354598933,0.194254219532,114,2423,0
2774008,15369578,0.685908734798,25.7686814995,86.1116137789,0.151158213615,115,1191,0
2777352,14925381,0.714229464531,26.832653756,213.858532723,0.227079391479,116,900,0
2779145,12291050,0.742279529572,27.8864574989,174.325414871,0.27624720335,117,382,0
2782134,14919857,0.702939748764,26.4085141073,310.721595034,0.221044838428,118,888,0
3248343,19252684,0.687929332256,25.8445926662,119.027173806,0.167990863323,119,2180,0
3249172,19249832,0.703336119652,26.4234052358,485.578288066,0.227299392223,120,2177,11
3255028,19191777,0.694198250771,26.0801076208,140.575942917,0.162343323231,121,2139,0
3255600,14962050,0.699612915516,26.2835293943,176.756878219,0.216455817223,122,950,0
3256494,15915910,0.710514247417,26.6930779762,125.029387596,0.202633678913,123,1352,0
3256754,15916063,0.792660117149,29.7791893584,207.892245003,0.317480713129,124,1352,0
3257417,14391659,0.777016282082,29.1914712221,164.479699467,0.257837891579,125,676,18
3258996,15919018,0.730217576027,27.4333059011,167.278484484,0.241198182106,126,1361,0
3260658,3263025,0.754984140396,28.3637528785,119.058703804,0.252575874329,127,130,0
3262264,19185763,0.724976301193,27.2363981567,131.917370721,0.194522798061,128,2125,0
3263072,15920679,0.815313220024,30.6302363904,676.101214656,0.372969388962,130,1364,0
3263550,14958744,0.685460448265,25.7518399689,106.651268415,0.187272399664,131,942,0
3264751,324538,0.69839733839,26.2378617738,121.111934903,0.212578326464,132,8,0
3269689,17231966,0.731354534626,27.4760199278,158.756955851,0.258498251438,133,1777,5
3483446,19203738,0.705667972565,26.5110098572,175.765204388,0.26150777936,134,2154,0
3932903,16807206,0.890813112259,33.4666672121,187.912067279,0.457610100508,135,1685,0
4644271,14964944,0.84461414814,31.7310334002,205.62862468,0.405477285385,136,957,0
5401582,17542519,0.999999701977,37.5686625822,100.0,7.39097595215e-06,137,1879,1
5402079,17542520,0.999997138977,37.5685662937,211.0,1.12652778625e-05,138,1879,1
5402170,17542521,0.999996602535,37.5685461403,63.0,2.02655792236e-06,138,1879,1
5402433,17542522,0.999999463558,37.5686536251,302.333333334,1.47223472595e-05,139,1879,1
5402605,17542522,0.999997317791,37.5685730115,82.0,4.94718551636e-06,140,1879,1
5402808,17542523,0.999984383583,37.5680870904,86.0,3.33786010742e-06,141,1879,1
5403026,17542523,0.999989926815,37.5682953423,197.416666667,1.2218952179e-05,142,1879,1
5403442,17542525,0.999992907047,37.5684073057,296.5,2.88486480713e-05,143,1879,1
5404118,17542525,0.999976158142,37.5677780715,118.0,8.82148742676e-06,144,1879,1
5404120,17542527,0.999976158142,37.5677780715,118.0,8.82148742676e-06,144,1879,1
5404395,17542524,0.99997574091,37.5677623967,302.375,1.79409980774e-05,145,1879,1
5404561,17542526,0.99997150898,37.5676034087,77.0,4.29153442383e-06,146,1879,1
5404834,17542527,0.999979794025,37.5679146668,184.666666667,2.38418579102e-05,147,1879,1
5405006,17542527,0.999969005585,37.5675093594,82.25,4.94718551636e-06,148,1879,1
5405377,17542528,0.999978899956,37.5678810778,241.133333333,3.12924385071e-05,149,1879,1
5405786,17542525,0.999964416027,37.5673369358,241.75,1.82390213013e-05,150,1879,1
5405790,17542529,0.999964416027,37.5673369358,241.75,1.82390213013e-05,150,1879,1
5405793,17542532,0.999964416027,37.5673369358,241.75,1.82390213013e-05,150,1879,1
5406146,17542529,0.99995714426,37.5670637452,208.0,1.0073184967e-05,151,1879,1
5406389,17542528,0.999940216541,37.5664277933,67.0,3.33786010742e-06,152,1879,1
5406707,17542530,0.999956488609,37.5670391133,195.75,1.7523765564e-05,153,1879,1
5407024,17542531,0.999957025051,37.5670592667,243.066666667,2.77161598206e-05,154,1879,1
5407340,17542529,0.999940812588,37.5664501859,233.5,8.34465026855e-06,155,1879,1
5407658,17542529,0.999947607517,37.5667054624,148.933333333,1.61528587341e-05,156,1879,1
5407863,17542530,0.999930024147,37.5660448785,75.5,4.29153442383e-06,157,1879,1
5408172,17542529,0.999956607819,37.5670435918,291.457142857,3.81469726562e-05,158,1879,1
5408174,17542531,0.999956607819,37.5670435918,291.457142857,3.81469726562e-05,158,1879,1
5408571,17542530,0.999930024147,37.5660448785,365.5,1.03712081909e-05,159,1879,1
5408721,17542530,0.99992954731,37.5660269644,78.333333333,4.47034835815e-06,160,1879,1
5409031,17542532,0.999935209751,37.5662396948,238.25,1.86562538147e-05,161,1879,1
5409427,17542532,0.999933600426,37.5661792346,207.883333333,3.12924385071e-05,162,1879,1
5409720,17542531,0.999923586845,37.5658030376,167.625,1.60336494446e-05,163,1879,1
5410016,17542529,0.99991196394,37.5653663805,93.0,6.31809234619e-06,164,1879,1
5410234,17542529,0.99991363287,37.56542908,382.375,2.11596488953e-05,165,1879,1
5410240,17542535,0.99991363287,37.56542908,382.375,2.11596488953e-05,165,1879,1
5410417,17542530,0.999907433987,37.5651961962,112.666666667,5.60283660889e-06,166,1879,1
5410587,17542530,0.999908864498,37.5652499386,138.0,1.01327896118e-05,167,1879,1
5410909,17542530,0.999898731709,37.5648692631,206.0,9.65595245361e-06,168,1879,1
5411126,17542529,0.9998909235,37.5645759191,71.0,3.69548797607e-06,169,1879,1
5411399,17542530,0.999893784523,37.5646834039,178.0,1.59740447998e-05,170,1879,1
5411627,17542530,0.999900043011,37.564918527,205.133333333,2.24709510803e-05,171,1879,1
5412052,17542529,0.999885678291,37.5643788635,194.333333333,9.11951065063e-06,172,1879,1
5412362,17542529,0.999876379967,37.5640295378,162.666666667,8.52346420288e-06,173,1879,1
5412723,17542526,0.999862730503,37.5635167456,70.25,3.6358833313e-06,174,1879,1
5412992,17542529,0.999877154827,37.5640586483,224.0,2.61068344116e-05,175,1879,1
5413309,17542526,0.999860107899,37.5634182178,160.5,1.13844871521e-05,176,1879,1
5413314,17542531,0.999860107899,37.5634182178,160.5,1.13844871521e-05,176,1879,1
5413612,17542529,0.999859273434,37.5633868681,165.5,1.72257423401e-05,177,1879,1
5413984,17542525,0.999851465225,37.563093524,121.25,9.89437103271e-06,178,1879,1
5413987,17542528,0.999851465225,37.563093524,121.25,9.89437103271e-06,178,1879,1
5414340,17542525,0.999833106995,37.5624038296,75.75,3.3974647522e-06,179,1879,1
5414541,17542526,0.999831855297,37.562356805,101.5,3.57627868652e-06,180,1879,1
5414877,17542524,0.999827086926,37.5621776636,188.0,1.18613243103e-05,181,1879,1
5415039,17542526,0.999822378159,37.5620007615,71.0,3.57627868652e-06,182,1879,1
5415171,17542522,0.9998229146,37.5620209149,105.0,4.52995300293e-06,183,1879,1
5415522,17542525,0.999816358089,37.5617745955,115.75,7.45058059692e-06,184,1879,1
5415774,17542525,0.999809861183,37.5615305153,143.0,6.67572021484e-06,185,1879,1
5415944,17542523,0.999806463718,37.5614028771,91.25,6.25848770142e-06,186,1879,1
5416208,17542525,0.999796688557,37.5610356372,222.0,5.72204589844e-06,187,1879,1
5416281,17542522,0.999795973301,37.561008766,72.0,1.43051147461e-06,187,1879,1
5416309,17542520,0.999795973301,37.561008766,72.0,1.43051147461e-06,187,1879,1
5416314,17542525,0.999795973301,37.561008766,72.0,1.43051147461e-06,187,1879,1
5416537,17542522,0.999795913696,37.5610065267,151.5,1.14440917969e-05,188,1879,1
5416754,17542517,0.999781966209,37.5604825382,103.5,3.81469726562e-06,189,1879,1
5416757,17542520,0.999781966209,37.5604825382,103.5,3.81469726562e-06,189,1879,1
5416761,17542524,0.999781966209,37.5604825382,103.5,3.81469726562e-06,189,1879,1
5417156,17542519,0.999778151512,37.560339225,128.75,8.76188278198e-06,190,1879,1
5417161,17542524,0.999778151512,37.560339225,128.75,8.76188278198e-06,190,1879,1
5417550,17542517,0.999767720699,37.5599473532,125.866666667,1.1146068573e-05,191,1879,1
5417728,17542517,0.999762237072,37.5597413406,85.0,5.30481338501e-06,192,1879,1
5418088,17542515,0.999754428864,37.5594479966,171.25,9.95397567749e-06,193,1879,1
5418092,17542519,0.999754428864,37.5594479966,171.25,9.95397567749e-06,193,1879,1
5418096,17542523,0.999754428864,37.5594479966,171.25,9.95397567749e-06,193,1879,1
5418359,17542516,0.999738454819,37.5588478729,161.166666667,6.43730163574e-06,194,1879,1
5418365,17542522,0.999738454819,37.5588478729,161.166666667,6.43730163574e-06,194,1879,1
5418695,17542518,0.999731183052,37.5585746823,65.5,3.33786010742e-06,195,1879,1
5418997,17542516,0.999720156193,37.5581604178,173.916666667,9.95397567749e-06,196,1879,1
5419406,17542511,0.999704897404,37.5575871653,211.083333333,1.28746032715e-05,197,1879,1
5419700,17542509,0.999696016312,37.5572535145,98.666666666,7.45058059692e-06,198,1879,1
5419704,17542513,0.999696016312,37.5572535145,98.666666666,7.45058059692e-06,198,1879,1
5420002,17542509,0.999681651592,37.556713851,69.0,3.81469726562e-06,199,1879,1
5420342,17542507,0.999667942524,37.5561988195,155.0,1.20401382446e-05,200,1879,1
5420346,17542511,0.999667942524,37.5561988195,155.0,1.20401382446e-05,200,1879,1
5420505,17542508,0.999653577805,37.5556591561,66.333333333,3.3974647522e-06,201,1879,1
5420815,17542512,0.999653100967,37.5556412419,132.583333333,9.71555709839e-06,202,1879,1
5421082,17542505,0.999633193016,37.5548933266,100.0,7.7486038208e-06,203,1879,1
5421453,17542502,0.999606072903,37.5538744599,92.5,3.57627868652e-06,204,1879,1
5421711,17542496,0.999593019485,37.5533840603,85.666666667,5.84125518799e-06,205,1879,1
5421714,17542499,0.999593019485,37.5533840603,85.666666667,5.84125518799e-06,205,1879,1
5421940,17542499,0.99958974123,37.5532609006,119.75,1.12652778625e-05,206,1879,1
5421946,17542505,0.99958974123,37.5532609006,119.75,1.12652778625e-05,206,1879,1
5422226,17542497,0.999565243721,37.5523405617,97.083333333,7.68899917603e-06,207,1879,1
5422522,17542493,0.999544322491,37.5515545788,110.5,6.19888305664e-06,208,1879,1
5422529,17542500,0.999544322491,37.5515545788,110.5,6.19888305664e-06,208,1879,1
5422928,17542485,0.999515295029,37.5504640556,126.0,4.76837158203e-06,209,1879,1
5422931,17542488,0.999515295029,37.5504640556,126.0,4.76837158203e-06,209,1879,1
5422934,17542491,0.999515295029,37.5504640556,126.0,4.76837158203e-06,209,1879,1
5422937,17542494,0.999515295029,37.5504640556,126.0,4.76837158203e-06,209,1879,1
5422940,17542497,0.999515295029,37.5504640556,126.0,4.76837158203e-06,209,1879,1
5423308,17542483,0.999492585659,37.5496108947,206.25,1.85966491699e-05,210,1879,1
5423310,17542485,0.999492585659,37.5496108947,206.25,1.85966491699e-05,210,1879,1
5423314,17542489,0.999492585659,37.5496108947,206.25,1.85966491699e-05,210,1879,1
5423564,17542481,0.999459803104,37.5483792976,76.666666667,4.82797622681e-06,211,1879,1
5423566,17542483,0.999459803104,37.5483792976,76.666666667,4.82797622681e-06,211,1879,1
5423972,17542481,0.999432265759,37.547344756,83.666666666,6.61611557007e-06,212,1879,1
5424217,17542472,0.999395608902,37.5459676065,78.9333333327,5.54323196411e-06,213,1879,1
5424225,17542480,0.999395608902,37.5459676065,78.9333333327,5.54323196411e-06,213,1879,1
5424808,17542463,0.999336361885,37.5437417747,81.0,5.90085983276e-06,214,1879,1
5424810,17542465,0.999336361885,37.5437417747,81.0,5.90085983276e-06,214,1879,1
5425117,17542454,0.999293148518,37.5421183058,126.25,1.20401382446e-05,215,1879,1
5425122,17542459,0.999293148518,37.5421183058,126.25,1.20401382446e-05,215,1879,1
5441481,17542907,0.99997729063,37.5678206176,113.25,4.3511390686e-06,216,1880,20
9468599,15367880,0.738719046116,27.7526948575,96.5066801123,0.220391631126,217,1187,0
9469498,9475801,0.696917295456,26.1822585236,84.5503795706,0.168864071369,218,231,21
9470199,13140062,0.723393261433,27.1769254523,152.597237108,0.203257679939,219,491,0
9470913,9472870,0.724027991295,27.2007714115,180.825454388,0.205683529377,221,224,0
9471565,13035223,0.765723228455,28.7672061744,116.567258358,0.204555690289,222,474,0
9472214,11467801,0.758434951305,28.4933952678,170.613005921,0.178983211517,223,323,0
9472751,14971844,0.863120734692,32.4263013131,96.0817206893,0.0959185361862,224,966,0
9472917,14979288,0.891097843647,33.4773641927,115.023355488,0.165104806423,224,986,0
9473223,14981356,0.820300459862,30.8176003769,92.5530888606,0.0934885144234,224,992,0
9473395,14565114,0.91084176302,34.2191170587,1003.94570157,0.464516490698,225,820,0
9473768,20918050,0.854690849781,32.1096017169,108.887002373,0.182400763035,226,2608,0
9474150,14979297,0.867446184158,32.5888027131,164.363939341,0.231623411179,227,986,0
9474516,14981261,0.817649245262,30.7179977605,108.98907768,0.167090058327,228,992,0
9475254,9472667,0.76802033186,28.8535053029,132.856666708,0.195665955544,229,224,0
9475599,15360059,0.807801604271,30.3480349486,150.70404795,0.195873260498,230,1172,0
9476109,14964130,0.776679992676,29.1788372751,127.067379011,0.145341992378,232,956,0
9476198,14977075,0.768858253956,28.8849849248,87.5371871181,0.098263502121,232,980,0
9476520,19569190,0.800447463989,30.0717496514,102.810007446,0.12656390667,233,2429,0
9476743,19566435,0.82069849968,30.832554205,217.188960377,0.256825268269,234,2423,0
9477180,13144286,0.792003333569,29.7545148703,122.691481495,0.202994048595,235,499,0
9477509,9472843,0.806268751621,30.2904477075,149.334758801,0.237125873566,236,224,0
9478004,14980558,0.776317179203,29.1652068541,94.201676501,0.153845012188,237,990,0
9478503,9473224,0.788256585598,29.6137545181,116.106280982,0.241666138172,238,224,0
9479872,9472834,0.709492266178,26.6546834964,86.113707155,0.153316020966,239,224,0
9480402,9472720,0.699881494045,26.2936195334,104.973521693,0.12606972456,240,224,0
9480640,14971510,0.781371772289,29.3551012129,118.923911896,0.263021290302,241,966,0
9480759,9473034,0.705084085464,26.4890739932,115.529625777,0.0996280908585,241,224,0
9481993,16797114,0.704881548882,26.4814649624,142.627288671,0.189829349518,242,1670,23
9482689,14369408,0.685684382915,25.7602528968,172.153759383,0.1649928689,243,632,0
9484091,11464829,0.68517190218,25.7409996752,109.197157523,0.181045770645,244,316,0
9489021,16804109,0.701028048992,26.3366940822,95.5825755205,0.210664898157,245,1680,0
10124023,10131523,0.908245027065,34.1215611328,65.2574337311,0.0485767126083,246,264,24
10124371,10131871,0.933725893497,35.0788434914,7454.36209095,0.484951287508,247,265,25
10125035,10132535,0.897452354431,33.7160947354,98.2308088113,0.0643602609634,248,266,26
10125459,10132959,0.92030018568,34.5744574541,177.428088404,0.104672074318,249,267,27
10126203,10133703,0.902662158012,33.9118201466,134.142894618,0.0832241177559,250,268,28
10126709,10134209,0.89818751812,33.7437138602,102.502696512,0.060971736908,251,269,29
10127195,10134695,0.91611123085,34.4170839766,109.767008249,0.0604158043861,252,270,30
10127655,10135155,0.931803524494,35.0066226374,343.811417036,0.117639958858,253,271,31
10127952,10135452,0.902306616306,33.8984629162,72.0035409443,0.0429010391235,254,272,32
10128558,10136058,0.915996670723,34.4127801046,156.034068549,0.0753049850464,255,273,33
10128784,10136284,0.908684372902,34.1380667732,92.8975219578,0.0662840008736,256,274,34
10129118,10136618,0.924673259258,34.7387480288,219.578666762,0.0989879965782,257,275,35
10129563,10137063,0.895188271999,33.6310361611,124.701724464,0.0611550807953,258,276,36
10129949,10137449,0.919591009617,34.5478146499,332.664839126,0.0880569815636,259,277,37
10130451,10137951,0.910242378712,34.1965989852,72.7989647835,0.0571065545082,260,278,38
10130601,10138101,0.905894041061,34.0332377065,119.572682003,0.0443853735924,261,279,39
10130788,10138288,0.914632797241,34.3615411867,369.008693444,0.102447926998,262,280,40
10131301,10138801,0.89327019453,33.5589765344,115.51397807,0.0572301149368,263,281,41
10131523,10124023,0.908245027065,34.1215611328,65.2574337311,0.0485767126083,264,246,24
10131871,10124371,0.933725893497,35.0788434914,7454.36209095,0.484951287508,265,247,25
10132535,10125035,0.897452354431,33.7160947354,98.2308088113,0.0643602609634,266,248,26
10132959,10125459,0.92030018568,34.5744574541,177.428088404,0.104672074318,267,249,27
10133703,10126203,0.902662158012,33.9118201466,134.142894618,0.0832241177559,268,250,28
10134209,10126709,0.89818751812,33.7437138602,102.502696512,0.060971736908,269,251,29
10134695,10127195,0.91611123085,34.4170839766,109.767008249,0.0604158043861,270,252,30
10135155,10127655,0.931803524494,35.0066226374,343.811417036,0.117639958858,271,253,31
10135452,10127952,0.902306616306,33.8984629162,72.0035409443,0.0429010391235,272,254,32
10136058,10128558,0.915996670723,34.4127801046,156.034068549,0.0753049850464,273,255,33
10136284,10128784,0.908684372902,34.1380667732,92.8975219578,0.0662840008736,274,256,34
10136618,10129118,0.924673259258,34.7387480288,219.578666762,0.0989879965782,275,257,35
10137063,10129563,0.895188271999,33.6310361611,124.701724464,0.0611550807953,276,258,36
10137449,10129949,0.919591009617,34.5478146499,332.664839126,0.0880569815636,277,259,37
10137951,10130451,0.910242378712,34.1965989852,72.7989647835,0.0571065545082,278,260,38
10138101,10130601,0.905894041061,34.0332377065,119.572682003,0.0443853735924,279,261,39
10138288,10130788,0.914632797241,34.3615411867,369.008693444,0.102447926998,280,262,40
10138801,10131301,0.89327019453,33.5589765344,115.51397807,0.0572301149368,281,263,41
10635469,15368452,0.704908907413,26.4824927862,126.423875473,0.20874658227,282,1188,0
10636506,14376574,0.757931292057,28.4744734578,142.099173786,0.24455344677,283,646,0
10636832,15924189,0.778405725956,29.2436707858,177.798490372,0.291218519211,284,1374,0
10637746,17005541,0.699105203152,26.2644553141,84.145736292,0.205420464277,285,1738,0
10638908,14249619,0.688478291035,25.8652163195,132.167584546,0.170576155186,286,584,0
10639440,14967154,0.851373136044,31.9849596118,403.499158949,0.399579226971,287,960,0
10640319,14967097,0.709335803986,26.6488054194,123.117794437,0.20075148344,288,960,0
10641212,13140051,0.728860855103,27.3823356953,127.737136774,0.227114796638,289,491,0
10641556,9475579,0.687037289143,25.8110797895,110.004755611,0.174948096275,290,230,0
10643732,19560836,0.816984832287,30.6930366462,335.903374497,0.320751160383,291,2418,0
10650801,14403653,0.706885695457,26.5567580913,118.349808749,0.212159305811,292,694,42
10651416,13035257,0.720484137535,27.0676335256,119.923434312,0.216871500015,293,474,0
10652310,19560978,0.750794768333,28.2063637261,173.867190797,0.270267486572,294,2418,0
11241513,20334016,0.999289751053,37.5419906675,138.251186755,0.555031508207,295,2561,43
11365298,13034572,0.725085020065,27.2404825805,134.86986346,0.266393363476,296,472,0
